# i18n Faz 4 — kategori adları EN/RU (kod ⇥ EN ⇥ RU). ÜRETİLMİŞ dosya: staging'de
# Gemini Pro toplu çevirisi (admin/content-translations/categories/backfill) → export.
# Elle düzeltme serbest (insan kararı kazanır); boş sütun = çeviri yok → Türkçeye düşer.
11000000	Metals, Minerals, Textiles and Natural Materials	Металлы, минералы, текстиль и натуральные материалы
11100000	Minerals and Ores and Metals	Минералы, руды и металлы
11101500	Minerals	Минералы
11101501	Mica	Слюда
11101502	Emery	Наждак
11101503	Quartz	Кварц
11101504	Pyrite	Пирит
11101505	Sulfur	Сера
11101506	Limestone	Известняк
11101507	Graphite	Графит
11101508	Dolomite	Доломит
11101509	Magnesite	Магнезит
11101510	Asbestos	Асбест
11101511	Calcium	Кальций
11101512	Borates	Бораты
11101513	Cryolite	Криолит
11101514	Feldspar	Полевой шпат
11101515	Leucite	Лейцит
11101516	Nepheline	Нефелин
11101517	Soapstone	Мыльный камень
11101518	Talc	Тальк
11101519	Rough diamonds	Необработанные алмазы
11101520	Garnets	Гранаты
11101521	Silicon carbide	Карбид кремния
11101522	Activated carbon	Активированный уголь
11101523	Mullite	Муллит
11101524	Fluorspar	Плавиковый шпат
11101525	Kieserite	Кизерит
11101526	Carnallite	Карналлит
11101527	Diatomaceous earth	Диатомовая земля
11101528	Activated alumina	Активированный оксид алюминия
11101529	Zeolite	Цеолит
11101530	Calcite	Кальцит
11101531	Serpentine	Змеевик
11101532	Peridot	Перидот
11101533	Pyrophyllite	Пирофиллит
11101534	Worked diamonds	Обработанные алмазы
11101535	Halite	Галит (каменная соль)
11101600	Ores	Руды
11101601	Iron ore	Железная руда
11101602	Titanium ore	Титановая руда
11101603	Uranium ore	Урановая руда
11101604	Copper ore	Медная руда
11101605	Aluminum ore	Алюминиевая руда
11101606	Nickel ore	Никелевая руда
11101607	Silver ore	Серебряная руда
11101608	Lead ore	Свинцовая руда
11101609	Zinc ore	Цинковая руда
11101610	Tin ore	Оловянная руда
11101611	Manganese ore	Марганцевая руда
11101612	Chromium ore	Хромовая руда
11101613	Tungsten ore	Вольфрамовая руда
11101614	Molybdenum ore	Молибденовая руда
11101615	Cobalt ore	Кобальтовая руда
11101616	Gold ore	Золотая руда
11101617	Tantalum ore	Танталовая руда
11101618	Platinum ore	Платиновая руда
11101619	Vermiculite ore	Вермикулитовая руда
11101620	Thorium ore	Ториевая руда
11101621	Kyanite ore	Кианитовая руда
11101622	Antimony ore	Сурьмяная руда
11101623	Zirconium ore	Циркониевая руда
11101624	Magnetite ore	Магнетитовая руда
11101625	Bauxite ore	Бокситовая руда
11101700	Base metals	Недрагоценные металлы
11101701	Slag or ash	Шлак или зола
11101702	Natural graphite	Природный графит
11101704	Steel	Сталь
11101705	Aluminum	Алюминий
11101706	Nickel	Никель
11101708	Bismuth	Висмут
11101709	Antimony	Сурьма
11101710	Cadmium	Кадмий
11101711	Non-ferrous alloy	Цветной сплав
11101712	Ferrous alloy	Черный сплав
11101713	Iron	Железо
11101714	Lead	Свинец
11101716	Tin	Олово
11101717	Indium	Индий
11101718	Palladium	Палладий
11101719	Zinc	Цинк
11101800	Precious metals	Драгоценные металлы
11101801	Gold	Золото
11101802	Silver	Серебро
11101803	Platinum	Платина
11101900	Intermediate and refined ore products	Полуфабрикаты и рафинированные рудные продукты
11101901	Iron ore concentrate	Концентрат железной руды
11101902	Nickel concentrate	Никелевый концентрат
11101903	Nickel briquette	Никелевый брикет
11101904	Nickel matte	Никелевый штейн
11101905	Liquid aluminum	Жидкий алюминий
11101906	Copper concentrate	Медный концентрат
11101907	Copper cathode	Медный катод
11101908	Manganese sinter or pellet	Марганцевый агломерат или окатыш
11101909	Manganese powder	Марганцевый порошок
11101910	Manganese lump ore	Кусковая марганцевая руда
11101911	Iron ore pellet	Окатыш железной руды
11101912	Iron ore lump	Кусковая железная руда
11101913	Iron ore powder	Порошок железной руды
11101914	Cobalt ore matte	Штейн кобальтовой руды
11101915	Zinc powder or flake	Цинковый порошок или чешуйка
11101916	Nickel powder or flake	Никелевый порошок или чешуйка
11101917	Copper powder or flake	Медный порошок или чешуйка
11101919	Copper matte	Медный штейн
11101920	Pig iron	Чугун
11101921	Cement clinker	Цементный клинкер
11101922	Aluminum powder or flake	Алюминиевый порошок или чешуйка
11101923	Zinc concentrate	Цинковый концентрат
11101924	Lead concentrate	Свинцовый концентрат
11110000	Earth and Stone	Земля и камень
11111500	Dust and dirt	Пыль и грязь
11111501	Soil	Почва
11111502	Fill soil	Грунт для засыпки
11111503	Topsoil	Верхний слой почвы
11111504	Crystal soil	Кристаллическая почва
11111505	Artificial soil	Искусственная почва
11111600	Stone	Камень
11111601	Gypsum stone	Гипсовый камень
11111602	Travertine	Травертин
11111603	Ecaussine or alabaster	Экоссин или алебастр
11111604	Granite	Гранит
11111605	Marble	Мрамор
11111606	Slate	Сланец
11111607	Sandstone	Песчаник
11111608	Limestone	Известняк
11111609	Basalt	Базальт
11111610	Pumice stone	Пемза
11111611	Gravel	Гравий
11111612	Limestone powder or mineral stone powder	Известняковый порошок или минеральный каменный порошок
11111613	Wollastonite	Волластонит
11111700	Sand	Песок
11111701	Silica sand	Кварцевый песок
11111800	Clays	Глины
11111801	Red clay	Красная глина
11111802	Fireclay	Огнеупорная глина
11111803	Kaolin or other kaolinic clays	Каолин или другие каолиновые глины
11111804	Bentonite	Бентонит
11111805	Andalusite	Андалузит
11111806	Mullite	Муллит
11111807	Chamotte	Шамот
