10000000	1		A	Canlı Bitki ve Hayvan Materyali ve Aksesuarları ve Malzemeleri
10100000	2	10000000		Canlı hayvanlar
10101500	3	10100000		Çiftlik hayvanları
10101501	4	10101500		Kediler
10101502	4	10101500		Köpekler
10101506	4	10101500		Atlar
10101507	4	10101500		Koyunlar
10101508	4	10101500		Keçiler
10101509	4	10101500		Eşekler
10101511	4	10101500		Domuzlar
10101512	4	10101500		Tavşanlar
10101513	4	10101500		Kobaylar
10101516	4	10101500		Sığırlar
10101517	4	10101500		Develer
10101518	4	10101500		Alpaka
10101600	3	10100000		Kuşlar ve kümes hayvanları
10101601	4	10101600		Canlı tavuklar
10101602	4	10101600		Canlı ördekler
10101603	4	10101600		Canlı hindiler
10101604	4	10101600		Canlı kazlar
10101605	4	10101600		Canlı sülünler
10101607	4	10101600		Canlı beç tavuğu
10101700	3	10100000		Canlı balıklar
10101701	4	10101700		Canlı somon
10101800	3	10100000		Kabuklular ve sucul omurgasızlar
10101801	4	10101800		Canlı karides
10101900	3	10100000		Böcekler
10101903	4	10101900		Arılar
10101904	4	10101900		İpek böcekleri
10102000	3	10100000		Yabani hayvanlar
10102100	3	10100000		Kuş ve kümes hayvanı kuluçka yumurtaları
10102101	4	10102100		Tavuk kuluçka yumurtaları
10110000	2	10000000		Evcil hayvan ürünleri
10120000	2	10000000		Hayvan yemi
10121500	3	10120000		Çiftlik hayvanı yemi
10121501	4	10121500		Saf buğday kepeği
10121600	3	10120000		Kuş ve kümes hayvanı yemi
10121601	4	10121600		Kuşlar için canlı yem
10121700	3	10120000		Balık yemi
10121701	4	10121700		Taze veya dondurulmuş canlı yem
10121800	3	10120000		Köpek ve kedi maması
10121801	4	10121800		Köpekler için kuru mama
10122100	3	10120000		Çeşitli hayvan yemi
10130000	2	10000000		Hayvan barındırma ve yaşam alanları
10131500	3	10130000		Hayvan barınakları
10131506	4	10131500		Hayvan ahırları
10131600	3	10130000		Hayvan barındırma
10131601	4	10131600		Kafesler veya aksesuarları
10131602	4	10131600		Köpek kulübeleri
10131605	4	10131600		Hayvan taşıma kafesi
10131700	3	10130000		Hayvan yaşam alanları
10131701	4	10131700		Teraryumlar
10140000	2	10000000		Eyer takımı ve koşum malzemeleri
10141500	3	10140000		Eyer takımı
10141501	4	10141500		Eyerler
10150000	2	10000000		Tohumlar ve soğanlar ve fideler ve çelikler
10151500	3	10150000		Sebze tohumları ve fideleri
10151503	4	10151500		Kereviz tohumları veya fideleri
10151504	4	10151500		Acı biber tohumları veya fideleri
10151505	4	10151500		Kabak tohumları veya fideleri
10151506	4	10151500		Bezelye tohumları veya fideleri
10151507	4	10151500		Salatalık tohumları veya fideleri
10151508	4	10151500		Patlıcan tohumları veya fideleri
10151509	4	10151500		Hindiba tohumları veya fideleri
10151510	4	10151500		Sarımsak tohumları veya fideleri
10151511	4	10151500		Pırasa tohumları veya fideleri
10151512	4	10151500		Marul tohumları veya fideleri
10151513	4	10151500		Mısır tohumları veya fideleri
10151514	4	10151500		Kavun tohumları veya fideleri
10151515	4	10151500		Soğan tohumları veya fideleri
10151517	4	10151500		Ispanak tohumları veya fideleri
10151518	4	10151500		Domates tohumları veya fideleri
10151520	4	10151500		Pazı tohumları veya fideleri
10151521	4	10151500		Dolmalık biber tohumları veya fideleri
10151522	4	10151500		Pancar tohumları veya fideleri
10151523	4	10151500		Karnabahar tohumları veya fideleri
10151524	4	10151500		Maydanoz tohumları veya fideleri
10151525	4	10151500		Brokoli tohumları veya fideleri
10151526	4	10151500		Lahana tohumları veya fideleri
10151529	4	10151500		Bal kabağı tohumları veya fideleri
10151531	4	10151500		Brüksel lahanası tohumları veya fideleri
10151532	4	10151500		Kabak (squash) tohumları veya fideleri
10151533	4	10151500		Bamya tohumları veya fideleri
10151534	4	10151500		Kavun (cantaloupe) tohumları veya fideleri
10151535	4	10151500		Yer fıstığı tohumları veya fideleri
10151536	4	10151500		Caigua tohumları veya fideleri
10151537	4	10151500		Kuşkonmaz tohumları veya fideleri
10151538	4	10151500		Nohut tohumları veya fideleri
10151539	4	10151500		Bakla tohumları veya fideleri
10151540	4	10151500		Centrocema veya kelebek bezelyesi tohumu veya fideleri
10151541	4	10151500		Isırgan otu tohumu veya fideleri
10151600	3	10150000		Tahıl tohumları
10151601	4	10151600		Buğday tohumları
10151602	4	10151600		Kolza tohumları
10151603	4	10151600		Arpa tohumları
10151604	4	10151600		Darı tohumları
10151605	4	10151600		Yulaf tohumları
10151606	4	10151600		Susam tohumları
10151607	4	10151600		Keten tohumları
10151608	4	10151600		Hint yağı tohumları
10151609	4	10151600		Mısır tohumları
10151610	4	10151600		Çavdar tohumları
10151611	4	10151600		Sorgum tohumları
10151612	4	10151600		Kivicha tohumları veya fideleri
10151613	4	10151600		Kinoa tohumları veya fideleri
10151614	4	10151600		Pirinç tohumları veya fideleri
10151616	4	10151600		Teff tohumu
10151700	3	10150000		Çim ve yem bitkisi tohumları ve fideleri
10151800	3	10150000		Baharat bitkisi tohumları ve fideleri
10151900	3	10150000		Çiçek tohumları ve soğanları ve fideleri ve çelikleri
10151904	4	10151900		Ayçiçeği tohumları
10152000	3	10150000		Ağaç ve çalı tohumları ve çelikleri
10152001	4	10152000		Meyve ağacı tohumları veya çelikleri
10152003	4	10152000		Sert kabuklu meyve ağacı tohumları veya çelikleri
10152008	4	10152000		Kahve tohumu veya fideleri
10152048	4	10152000		Hint yağı çalısı tohumu veya çeliği
10152055	4	10152000		Hurma palmiyesi çeliği
10152056	4	10152000		Aspir palmiyesi tohumu
10152057	4	10152000		Manyok tohumu veya çeliği
10152100	3	10150000		Hayvan yemi dışındaki kalıntılar
10152200	3	10150000		Lifli mahsul tohumları ve fideleri
10152201	4	10152200		Pamuk tohumları veya fideleri
10152300	3	10150000		Baklagil tohumları ve fideleri
10152301	4	10152300		Fasulye tohumları veya fideleri
10152302	4	10152300		Soya tohumları veya fideleri
10152400	3	10150000		Yumru tohumları ve fideleri
10152401	4	10152400		Patates tohumları veya fideleri
10152402	4	10152400		Şalgam tohumları veya fideleri
10152403	4	10152400		Tatlı patates tohumları veya fideleri
10152404	4	10152400		Havuç tohumları veya fideleri
10152405	4	10152400		Turp tohumları veya fideleri
10160000	2	10000000		Süs bitkiciliği ve ormancılık ürünleri
10161500	3	10160000		Ağaçlar ve çalılar
10170000	2	10000000		Gübreler ve bitki besinleri ve herbisitler
10171500	3	10170000		Organik gübreler ve bitki besinleri
10171501	4	10171500		Hayvan gübresi veya guano
10171502	4	10171500		Bitki hormonları
10171504	4	10171500		Kompost
10171506	4	10171500		Humus (toprak)
10171507	4	10171500		Üre gübresi
10171600	3	10170000		Kimyasal gübreler ve bitki besinleri
10171601	4	10171600		Amonyum nitrat gübresi
10171602	4	10171600		Potasyumlu gübre
10171603	4	10171600		Fosfatlı gübre
10171604	4	10171600		Kükürtlü gübre
10171605	4	10171600		Azot Fosfor Potasyum Karışımları NPK
10171611	4	10171600		Kalsiyum gübresi
10171612	4	10171600		Süperfosfat gübresi
10171613	4	10171600		Kalsiyum karbonat ile karışık amonyum nitrat gübresi
10171614	4	10171600		Tarımsal kullanım için potasyum klorür
10171615	4	10171600		Potasyum sülfat
10171616	4	10171600		Diamonyum hidrojen ortofosfat gübresi
10171700	3	10170000		Herbisitler
10171702	4	10171700		Fungisitler
10171703	4	10171700		Propanil
10171800	3	10170000		Toprak düzenleyicileri
10190000	2	10000000		Zararlı kontrol ürünleri
10191500	3	10190000		Pestisitler veya zararlı kovucular
10191506	4	10191500		Rodentisitler
10191507	4	10191500		Kuş kovucular
10191508	4	10191500		Termit kalkanları
10191509	4	10191500		İnsektisitler
10191510	4	10191500		Abamektin
10191511	4	10191500		Fipronil
10191512	4	10191500		Sipermetrin
10191513	4	10191500		Deltametrin
10191514	4	10191500		Fenitrotion
10191515	4	10191500		Klorpirifos
10191516	4	10191500		Malatyon
10191517	4	10191500		Diazinon
10191518	4	10191500		Karbaril
10191519	4	10191500		Teflubenzuron
10191520	4	10191500		Kimyasal olmayan biyolojik zararlı kontrol çözümü
10191700	3	10190000		Zararlı kontrol cihazları
10191701	4	10191700		Hayvan kontrol tuzakları
10191703	4	10191700		Uçan böcek kontrol tuzakları
10191704	4	10191700		Sinek raketleri
10191705	4	10191700		Kementler (lariat)
10191706	4	10191700		Bacaktan tutan tuzaklar
10191707	4	10191700		Ultrasonik zararlı kovucu
10191708	4	10191700		Fümigasyon sırt çantası
10200000	2	10000000		Canlı gül çalıları
10210000	2	10000000		Yüksek tür veya çeşit sayılı çiçeklerin canlı bitkileri
10220000	2	10000000		Düşük tür veya çeşit sayılı çiçeklerin canlı bitkileri
11000000	1		A	Mineral ve Tekstil ve Yenmeyen Bitki ve Hayvan Materyalleri
11100000	2	11000000		Mineraller ve cevherler ve metaller
11101500	3	11100000		Mineraller
11101501	4	11101500		Mika
11101506	4	11101500		Tebeşir
11101600	3	11100000		Cevherler
11101700	3	11100000		Adi metaller
11101800	3	11100000		Değerli metaller
11110000	2	11000000		Toprak ve taş
11111500	3	11110000		Toprak ve zemin
11111501	4	11111500		Toprak
11111600	3	11110000		Taş
11111601	4	11111600		Alçıtaşı
11111602	4	11111600		Traverten
11111603	4	11111600		Ekosin veya kaymaktaşı
11111604	4	11111600		Granit
11111605	4	11111600		Mermer
11111606	4	11111600		Arduvaz
11111607	4	11111600		Kumtaşı
11111608	4	11111600		Kireçtaşı
11111609	4	11111600		Bazalt
11111610	4	11111600		Sünger taşı
11111611	4	11111600		Çakıl
11111612	4	11111600		Kireçtaşı tozu veya maden kaya tozu
11111613	4	11111600		Volastonit
11111700	3	11110000		Kum
11111701	4	11111700		Silis kumu
11111800	3	11110000		Killer
11111801	4	11111800		Pişmiş toprak
11111802	4	11111800		Ateş kili
11111803	4	11111800		Kaolin veya diğer kaolinik killer
11111804	4	11111800		Bentonit
11111805	4	11111800		Andaluzit
11111806	4	11111800		Mullit
11111807	4	11111800		Şamot
11111808	4	11111800		Adi kil
11111809	4	11111800		Top kili
11111810	4	11111800		Ağartma toprağı
11111811	4	11111800		Haydit (genleştirilmiş kil)
11111812	4	11111800		Vermikülit
11120000	2	11000000		Yenmeyen bitki ve ormancılık ürünleri
11121500	3	11120000		Bitki özsuyu
11121502	4	11121500		Reçine
11121600	3	11120000		Ahşap
11121603	4	11121600		Tomruklar
11121604	4	11121600		Yumuşak kereste
11121605	4	11121600		Rattan
